,corp_code,corp_name,corp_eng_name,stock_code,modify_date
99965,01800683,캄스퀘어안산데이터센터피에프브이,KAAM Square ansan datacenter PFV Co.ltd., ,20240430
99966,01833070,디딤디앤씨,"DIDIM D&C Co., LTD.", ,20240430
99967,01254680,거성레미콘,"Geosung remicon Co., Ltd.", ,20240430
99968,01837748,원영디앤씨,"Won-Young D&C co.,Ltd", ,20240430
99969,01875720,농업회사법인한울팜,Hanul Farm Corporation, ,20241031
99970,00112059,상상인증권,"SANGSANGININVESTMENT&SECURITIES CO.,LTD.",001290,20241101
99971,01641600,에이럭스,"ALUX Co., Ltd.",475580,20241101
99972,00510233,트리스타,"Trista co., ltd.", ,20241101
99973,01876589,티와이제일호기업구조조정부동산투자회사,"TY 1 CR-REIT Co., Ltd.", ,20241101
99974,01827990,아라,"ARA CO.,LTD", ,20241101
99975,01876020,아이랩,ILAB Co. Ltd, ,20241101
99976,00471068,덕산하이메탈,"DUKSANHIMETALCO.,LTD.",077360,20241104
99977,01061558,덕산네오룩스,"DUK SAN NEOLUX CO.,LTD",213420,20241104
99978,01064069,토박스코리아,"TOEBOX KOREA, Ltd.",215480,20241104
99979,01504211,라메디텍,"LAMEDITECH Co., Ltd.",462510,20241104
99980,01876251,네오사피엔스,"Neosapience, Inc.", ,20241104
99981,01875517,피니사르대전,"Finisar Daejeon Co.,Ltd.", ,20241104
99982,01876808,농가홀딩스, nonga hoidings, ,20241105
99983,01866935,스마트학익제이차,Smart Hakik 2nd.Co.Ltd, ,20241105
99984,00126070,삼선개발,SAMSUN, ,20240325
99985,01644856,리하온,"APMT CO.,LTD.", ,20240325
99986,01853366,신암제일차유동화전문유한회사,"Sinam1st Securitization Specialty Co.,Ltd.", ,20240701
99987,01594904,이브이알스튜디오,"Evr studio Co.,Ltd", ,20240701
99988,01830833,선두금속,"SEON DOO,lnc", ,20240705
99989,00219422,한국이콜랩,Nalco Korea Ltd., ,20240705
99990,00307213,키움인베스트먼트,"Kiwoom investment Co., Ltd.", ,20240705
99991,01854347,도온,"Do-on Co.,Ltd.", ,20240709
99992,01868845,티스테크,"TISS TECH Co., Ltd.", ,20240923
99993,00299367,에스엘엘중앙,"SLL JOONGANG Co., Ltd", ,20241121
99994,01351813,지멘스헬시니어스,Siemens Healthineers Ltd., ,20241121
99995,00496687,에이치제이디오션리조트,HJ MAGNOLIA YONGPYONG THEOCEAN HOTEL & RESORT CORPORATION, ,20250228
99996,01663347,서일코퍼레이션,Seoil Corporation, ,20250228
99997,01898068,서진에스엔피,SEOJIN S&P, ,20250228
99998,01022629,디아이씨,"DIC Co.,Ltd", ,20250228
99999,01610080,한얼티앤에스,"HANUL T&S CO.,LTD", ,20250228
100000,00523088,신성산업,"SHINSUNG INDUSTRIAL CO.,LTD", ,20250228
100001,01900521,에이치에프아이오일에이유동화전문유한회사,"HFI51A Securitization Specialty Co.,Ltd.", ,20250311
100002,01900530,에이치에프케이비오일유동화전문유한회사,"HFKB51 Securitization Specialty Co., Ltd.", ,20250311
100003,01900549,유플러스파이브지제팔십차유동화전문유한회사,"Uplus 5G Eightieth Securitization Specialty Co., Ltd.", ,20250311
100004,01900558,에프에이치2503유동화전문유한회사,"FH2503 Asset Securitization Specialty Co., Ltd.", ,20250311
100005,01900567,에프에스에스비2503유동화전문유한회사,"FSSB2503 Asset Securitization Specialty Co., Ltd.", ,20250311
100006,01900576,케이에프에스비이오공삼유동화전문유한회사,"KFSB 2503 Securitization Specialty Co., Ltd.", ,20250311
100007,01900585,에이치에프아이오일씨유동화전문유한회사,"HFI 51C Securitization Specialty Co., Ltd.", ,20250311
100008,01900594,에이치에프비오일유동화전문유한회사,"HFB 51 Securitization Specialty Co., Ltd.", ,20250311
100009,01388835,스마일위드,"SMILE WITH CO., LTD.", ,20250311
100010,00131188,크래프트하인즈코리아,Kraft Heinz Korea Inc , ,20250311
100011,01897458,모스트,MOST INC., ,20250311
